Ticker,Name,Market,
TUI,TUI AG ORD REG SHS NPV (DI),FTSE 250,
TW.,TAYLOR WIMPEY PLC ORD 1P,FTSE 100,
UKCM,UK COMMERCIAL PROPERTY REIT LIMITED ORD 25P,FTSE 250,
UKW,GREENCOAT UK WIND PLC ORD 1P,FTSE 250,
ULVR,UNILEVER PLC ORD 3 1/9P,FTSE 100,
UTG,UNITE GROUP PLC ORD 25P,FTSE 100,
UU.,UNITED UTILITIES GROUP PLC ORD 5P,FTSE 100,
VCT,VICTREX PLC ORD 1P,FTSE 250,
VEIL,VIETNAM ENTERPRISE INVESTMENTS LIMI ORD USD0.01 (DI),FTSE 250,
VID,VIDENDUM PLC ORD 20P,FTSE 250,
VMUK,VIRGIN MONEY UK PLC ORD GBP0.10,FTSE 250,
VOD,VODAFONE GROUP PLC ORD USD0.20 20/21,FTSE 100,
VOF,VINACAPITAL VIETNAM OPP. FUND LD ORD $0.01,FTSE 250,
VSVS,VESUVIUS PLC ORD 10P,FTSE 250,
VTY,VISTRY GROUP PLC ORD 50P,FTSE 250,
WEIR,WEIR GROUP PLC ORD 12.5P,FTSE 250,
WG.,WOOD GROUP (JOHN) PLC ORD 4 2/7P,FTSE 250,
WHR,WAREHOUSE REIT PLC ORD 1P,FTSE 250,
WIZZ,WIZZ AIR HOLDINGS PLC. ORD GBP0.0001,FTSE 250,
WKP,WORKSPACE GROUP PLC ORD GBP1,FTSE 250,
WOSG,WATCHES OF SWITZERLAND GROUP PLC ORD GBP0.0125,FTSE 250,
WPP,WPP PLC ORD 10P,FTSE 100,
WPS,W.A.G PAYMENT SOLUTIONS PLC ORD 1P,FTSE 250,
WTAN,WITAN INV TST PLC ORD 5P,FTSE 250,
WTB,WHITBREAD PLC ORD 76 122/153P,FTSE 100,
WWH,WORLDWIDE HEALTHCARE TRUST PLC ORD 25P,FTSE 250,
